zipcode,PATROL_BORO,Crime Count
10001,MAN NORTH,2
10001,MAN SOUTH,140
10002,MAN SOUTH,135
10003,MAN SOUTH,119
10004,MAN SOUTH,8
10005,MAN SOUTH,19
10006,MAN SOUTH,4
10007,MAN SOUTH,18
10009,MAN SOUTH,68
10010,MAN SOUTH,50
10011,MAN SOUTH,68
10012,MAN SOUTH,53
10013,MAN SOUTH,54
10014,MAN SOUTH,46
10016,MAN SOUTH,72
10017,MAN SOUTH,27
10018,MAN SOUTH,53
10019,MAN SOUTH,147
10021,MAN NORTH,24
10022,MAN NORTH,13
10022,MAN SOUTH,57
10023,MAN NORTH,47
10023,MAN SOUTH,7
10024,MAN NORTH,50
10025,MAN NORTH,84
10026,MAN NORTH,45
10027,MAN NORTH,125
10028,MAN NORTH,27
10029,MAN NORTH,137
10030,BRONX,1
10030,MAN NORTH,69
10031,MAN NORTH,68
10032,MAN NORTH,59
10033,MAN NORTH,45
10034,MAN NORTH,33
10035,MAN NORTH,111
10035,MAN SOUTH,8
10036,MAN SOUTH,102
10037,MAN NORTH,28
10037,MAN SOUTH,10
10038,MAN SOUTH,36
10039,MAN NORTH,37
10040,MAN NORTH,44
10044,QUEENS NORTH,3
10045,MAN SOUTH,1
10065,MAN NORTH,28
10069,MAN NORTH,1
10075,MAN NORTH,19
10111,MAN SOUTH,11
10115,MAN NORTH,1
10128,MAN NORTH,36
10153,MAN NORTH,1
10155,MAN NORTH,2
10155,MAN SOUTH,1
10158,MAN SOUTH,1
10178,MAN SOUTH,1
10275,MAN SOUTH,4
10278,MAN SOUTH,3
10280,MAN SOUTH,1
10281,MAN SOUTH,2
10282,MAN SOUTH,1
10301,STATEN ISLAND,52
10302,STATEN ISLAND,23
10303,STATEN ISLAND,39
10304,STATEN ISLAND,47
10305,STATEN ISLAND,34
10306,STATEN ISLAND,32
10307,STATEN ISLAND,11
10308,STATEN ISLAND,17
10309,STATEN ISLAND,24
10310,STATEN ISLAND,36
10312,STATEN ISLAND,29
10314,STATEN ISLAND,52
10451,BRONX,143
10452,BRONX,133
10453,BRONX,113
10454,BRONX,87
10454,MAN NORTH,11
10455,BRONX,112
10456,BRONX,149
10457,BRONX,152
10458,BRONX,128
10459,BRONX,104
10460,BRONX,111
10461,BRONX,73
10462,BRONX,72
10463,BRONX,91
10464,BRONX,8
10465,BRONX,42
10466,BRONX,95
10467,BRONX,137
10468,BRONX,101
10469,BRONX,74
10470,BRONX,27
10471,BRONX,17
10472,BRONX,75
10473,BRONX,81
10474,BRONX,26
10475,BRONX,43
11004,QUEENS SOUTH,2
11101,QUEENS NORTH,61
11102,QUEENS NORTH,31
11103,QUEENS NORTH,42
11104,QUEENS NORTH,20
11105,QUEENS NORTH,22
11106,QUEENS NORTH,26
11109,QUEENS NORTH,1
11135,QUEENS NORTH,15
11201,BKLYN NORTH,90
11201,BKLYN SOUTH,4
11203,BKLYN NORTH,4
11203,BKLYN SOUTH,98
11204,BKLYN SOUTH,33
11205,BKLYN NORTH,48
11206,BKLYN NORTH,146
11207,BKLYN NORTH,186
11207,BKLYN SOUTH,2
11208,BKLYN NORTH,159
11208,QUEENS SOUTH,2
11209,BKLYN SOUTH,45
11210,BKLYN SOUTH,42
11211,BKLYN NORTH,71
11212,BKLYN NORTH,123
11212,BKLYN SOUTH,40
11213,BKLYN NORTH,57
11213,BKLYN SOUTH,29
11214,BKLYN SOUTH,72
11215,BKLYN SOUTH,42
11216,BKLYN NORTH,95
11216,BKLYN SOUTH,5
11217,BKLYN NORTH,36
11217,BKLYN SOUTH,29
11218,BKLYN SOUTH,44
11219,BKLYN SOUTH,45
11220,BKLYN SOUTH,86
11221,BKLYN NORTH,144
11222,BKLYN NORTH,37
11223,BKLYN SOUTH,51
11224,BKLYN SOUTH,93
11225,BKLYN NORTH,4
11225,BKLYN SOUTH,70
11226,BKLYN SOUTH,104
11227,BKLYN SOUTH,5
11228,BKLYN SOUTH,39
11229,BKLYN SOUTH,55
11230,BKLYN SOUTH,40
11231,BKLYN NORTH,1
11231,BKLYN SOUTH,33
11232,BKLYN SOUTH,38
11233,BKLYN NORTH,135
11233,BKLYN SOUTH,1
11234,BKLYN NORTH,2
11234,BKLYN SOUTH,87
11235,BKLYN NORTH,2
11235,BKLYN SOUTH,73
11236,BKLYN NORTH,5
11236,BKLYN SOUTH,84
11237,BKLYN NORTH,59
11237,QUEENS NORTH,1
11238,BKLYN NORTH,37
11238,BKLYN SOUTH,6
11239,BKLYN NORTH,32
11239,BKLYN SOUTH,3
11249,BKLYN NORTH,27
11252,BKLYN SOUTH,2
11354,QUEENS NORTH,52
11355,QUEENS NORTH,48
11355,QUEENS SOUTH,1
11356,QUEENS NORTH,20
11357,QUEENS NORTH,25
11358,QUEENS NORTH,12
11360,QUEENS NORTH,8
11361,QUEENS NORTH,24
11362,QUEENS NORTH,10
11363,QUEENS NORTH,2
11364,QUEENS NORTH,13
11364,QUEENS SOUTH,1
11365,QUEENS NORTH,11
11365,QUEENS SOUTH,15
11366,QUEENS SOUTH,6
11367,QUEENS SOUTH,41
11368,QUEENS NORTH,107
11369,QUEENS NORTH,42
11370,QUEENS NORTH,17
11371,BKLYN NORTH,1
11371,BRONX,12
11371,MAN SOUTH,2
11372,QUEENS NORTH,53
11373,QUEENS NORTH,64
11374,QUEENS NORTH,43
11375,QUEENS NORTH,39
11377,QUEENS NORTH,63
11378,QUEENS NORTH,31
11379,QUEENS NORTH,20
11385,BKLYN NORTH,4
11385,QUEENS NORTH,97
11411,QUEENS SOUTH,14
11412,QUEENS SOUTH,47
11413,QUEENS SOUTH,38
11414,QUEENS SOUTH,13
11415,QUEENS NORTH,3
11415,QUEENS SOUTH,8
11416,QUEENS SOUTH,26
11417,QUEENS NORTH,1
11417,QUEENS SOUTH,35
11418,QUEENS SOUTH,36
11419,QUEENS SOUTH,43
11420,QUEENS SOUTH,41
11421,BKLYN NORTH,2
11421,QUEENS NORTH,1
11421,QUEENS SOUTH,22
11422,QUEENS SOUTH,38
11423,QUEENS SOUTH,24
11426,QUEENS SOUTH,5
11427,QUEENS NORTH,2
11427,QUEENS SOUTH,17
11428,QUEENS SOUTH,23
11429,QUEENS SOUTH,29
11430,QUEENS SOUTH,1
11432,QUEENS SOUTH,81
11433,QUEENS SOUTH,53
11434,QUEENS SOUTH,80
11435,QUEENS NORTH,1
11435,QUEENS SOUTH,52
11436,QUEENS SOUTH,20
11451,QUEENS SOUTH,1
11691,QUEENS SOUTH,81
11692,QUEENS SOUTH,31
11693,QUEENS SOUTH,13
11694,QUEENS SOUTH,25
12692,QUEENS SOUTH,2
